review_id,user_id,business_id,stars,useful,funny,cool,text,date
EY9_8CXsiYJHRPdi4cHnWQ,_p4HWfilFalD7jotxuJTfQ,vP_Rkh68ohANnCL-nXED6Q,2.0,0,0,0,"I can't actually rate the food or drinks, because we left without being served. We went in on a Sunday evening, with reservations. When we arrived, the host told us that there were no tables available in the quiet area (we had not asked for a quiet table), so if we wanted to sit away from the stage, we would need to wait. She suggested we sit at one of the bar tables and have a drink and an appetizer. While we were asking her if she would come get us when a table was ready, another party of two interrupted us to let the host know they would be seating themselves in the quiet area. Rather than let the party know she would take care of them after she finished with us, the host left us standing there while she followed them to a table with menus. They sat at a table that would have accommodated three people, and informed the host they did not need menus, as they were just there for drinks (begging the question why the host did not seat them in the bar area and give the party with the dinner reservation the table in the quiet area). We then sat at a low table (not appropriate for dining), and the host did follow us with menus. We sat for several minutes (I waited tables for 10 years and know guests' tendency to exaggerate, but it was at least 5 minutes) before being greeted by our server. The two other members of our party had already chosen drinks, but I wanted to know which gins they offered. Our server simply said they had ""a lot"" and did I have a particular one in mind. I said I wanted a pine-y gin, and she said she only liked botanical gins, so could only recommend Tanqueray. This is a very small qualm that I would not mention if the rest of the experience had been good, but she should have offered to check with the bartender for a recommendation. I ordered Tanqueray on the rocks and our server never returned. At least 10 minutes after ordering our drinks, with no one having come by to check on us or let us know about our drinks or table, we walked out. On our way out of the restaurant, both the host and manager simply said ""thank you,"" either unaware or indifferent to the fact that we had not been served. When we walked out, it was around 25 minutes from the time we walked in.",2014-10-24 02:02:29
o8yZzOdK4cxxfV2dmMVDrQ,3ucgrMOozPaD0SJP8odi5w,1NzS-HbQx119uBh6Wdk35A,1.0,1,0,0,"Can I give no stars?  I was not even able to get my poor cat's RX filled after multiple phone calls and transfers to different people.  Horrible experience.  It was not anything unusual that should have been hard for them.  The vet called in capsules but liquid is easier so they changed it immediately after putting me on hold forever and before I was done asking questions.  When they returned I found out they automatically were putting chicken flavor in which our cats never liked at other pharmacy - but they loved cherry, so asked for that.  OMG - they have to change the entire compounding protocol to use cherry and would have to put me on hold forever again just to find out if this was even possible - and it would take days extra if by chance it was even possible and on and on and on....   Help!  Save me from ever asking that again!  Ridiculous - at the other pharmacy they ask what flavor and then just do it.  Amazing concept.  Now mind you - I am at work and trying to work and must work long hours. Finally we are set and we are getting fake chicken flavor our cats have hated in the past - the price is now over $90 for just 10 ml of liquid and the cat takes .65 ml at a time.  What?  The pill form was $50.  How could this even be?  I have purchased at lot more of this drug - in cherry and liquid for a lot less with fewer phone calls and less time.  I could not deal with them any more at this point and had to end call.  They called me back to harass me some more a little bit later and I had to tell them I am done with you now and the sad part it is hurting my cat - the very one they are supposed to be helping.  Yeah right - charging over $90 for 10 ml of a liquid medicine that normally sells for a lot less - that's right - they don't care about you or your pet.  Guess my old
compounding pharmacy is looking good.  And I am so mad they put me on hold and bothered my vet without even letting me finish or say if I even wanted them to actually do that!  It would have been nice if they mentioned the extreme price change no one else charges at that point.   Idiots - the lot of them involved in the entire mess that I was transferred around to.  Should have been 1 - 2 people, with them calling me back - no surprise epic holds!  I am so done!",2020-06-18 09:59:51
TnyQNPsDaZ0kM9wRORbVJQ,QaW5F4PKoKZCZXRAGwJNGg,GdWGH407h-sPzZw2Ui1hcg,1.0,0,0,0,"DO NOT RENT HERE!

This property group managed my sight in Hartford, CT.  Story below.

A very similar experience to everyone else here.  I rented a unit from October 2009 to October 2010.  I was a good tenant, paid my rent, and created little bother despite several issues like the ones listed above.  I even remember seeing the guy with 4 unleashed pitbulls running out of the place! I actually think I was living there while this happened and I saw the security guard that got hurt.

Unlike Lynn K., I was promised free parking for 1 person and the option of $50 per month for the purchase of an additional spot.  When I later tried to claim another spot the management said that they had never heard of such a deal.  The company had hired another company to fill the units upon opening which then disappeared as soon as the place was mildly occupied.  They also could not provide with the name of the person I talked to (who signed my lease as witness), which just blew my mind.  

Upon move out I was calling to ask where I needed to put the keys as I heard nothing from them.  They then informed me that there is an automatic renewal if I do not give them notice within 60 days of the lease ending.  In my past experience, when you sign a 1 year lease, it terminates within one year.  There is a clause in the contract stating that the lease will automatically renew if written notice is not given.  Basically a new contract is in effect WITHOUT YOUR SIGNATURE!  Totally unheard of by me.  As with Lynn K., I then discovered loads of hidden fees and no help in re-renting the unit.  

I had worked out the problem with a manager by the name of Donna in which only my security deposit would be collected.  It is now OVER a year later and I am receiving calls from a collection agency about back owed fees.  Donna is no longer there and I had long ago deleted email correspondence about this because the issue was resolved.

This is clearly a company trying to trick clients into paying for as much as possible and without any support to the tenants.  Avoid this at all cost and don't let the remodeled exterior fool you.  Like everyone else who has written, you will end up paying more than you planned for in the end.",2011-11-16 20:00:14
L9_NsptDT4U-AM0VodoC1g,4DyMRBKrokax6d8LCI3GAw,S8saWaZlToeNoloR2fMrAQ,5.0,32,20,25,"When I am bored and tired of tasting local light red wines, I always end my own wine stroll (or tour when guests are in town) at Grassini. After relocating from Seattle many moons ago, I had grown a love big, bold Bordeaux varietals like Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot, and Malbec. I am so glad to have Grassini's tasting room serve this style of wine.

What makes Grassini's Tasting Room special is that it is semi-hidden within the gorgeous El Paseo among the alleyways and fruit trees. This not only demonstrates the classic character and history of Santa Barbara (heck, De La Guerra family's own wine cellar is just around the corner), but it is also a world away from the Funk Zone plagued with immature wine palettes. The tasting room fits a Western theme of wood and leather with a beautiful fireplace to keep cozy. Be sure to take a peek at the beautiful wood tasting counter! There is a separate dining room for groups and an outdoor patio for those pleasant days. They also conveniently offer cold water from a machine and cell phone chargers.

Now let's get to the wines! I am not a huge fan of white wine, though Grassini is well-respected for their award-winning Sauvignon Blanc. Segwaying into red wines...Few know that the Grassini Family Vineyards possesses the oldest Cabernet Sauvignon vines in Santa Barbara County--and it shows! While the bottles poured in the tasting room are roughly 4-5 years old (it's currently 2020, so they're pouring 2015 & 2016s), all their wines are still extremely robust and full of complex flavors. The estate Cabernet Sauvignon and the Articondo (a cuvée of Cabernet Sauvignon, Cabernet Franc, and Petit Verdot) are always my top two wines to sip on. However, I never pass up a taste of their exquisite Merlot which has a very small slice of acreage and low production on their estate.

Whether or not they have a bottle of Equipo open when you visit, trust me and buy a bottle. It is a super affordable, delicious red table wine, yet what I most appreciate is that all the proceeds go toward the ""equipo"" (team) that works in the vineyards to produce Grassini's fabulous wines.
No matter who is pouring at the tasting room, I can always count on being treated well and them being knowledgeable about wine. I must say, however, that if Lauren and Ronnie are my top picks to be around. Sidenote: If you become a wine member, you can always request a private tour of their Happy Canyon Vineyard. Unfortunately, the property is closed to the public due to horses being bred nearby. For now drink up and enjoy photos of the vineyard on the TV--Cheers!",2020-01-19 17:52:24
zzMhia8k02i-7j-RWA6bNw,KNWu_yTeLW93y-J_QoCuCg,BnzAXu_3S2CRQOG_vMIYRw,1.0,2,0,0,"Due to our waitress being rude and not returning to our table, I decided to get up from roulette and go get a drink from the bar. I ordered a double whiskey from Main Bar and the bartender asked for my I.D. I live in Idaho and came to Reno with 6 friends for my birthday. I knew that my driver's license expired on my birthday and didn't want to have any issues with it when I came to Reno, so l went to my local DMV to get it renewed prior to our trip. In Idaho when you renew your license, they take your expired one and give you a paper one that says ""temporary"" on it. You keep this license for 2-3 weeks while they create you a hard copy of the license and then send it to you by mail. The temporary ID is a state issued, VALID ID, that has absolutely everything on it that a plastic ID has, except it is made of paper because it is TEMPORARY. Keep in mind there is absolutely no way around this. Every single person in Idaho who renews their license receives a paper temporary ID for 2-3 weeks. Every single one! I used this temporary ID to check into the hotel. The front desk looked at it a little funny but still allowed me to check in with no problems. I used it to acquire my Players Card with absolutely no problems. The bartender at Main Bar looked at it for 5 seconds and then told me he would have to have security come verify it. Security was there almost instantly and approached me. I showed him the ID and without even looking at it for a second he said ""We don't take no paper ID's"". I kindly explained to him that it was a valid ID while I was waiting for my hard copy. He told me that's not how it worked and that the DMV would give me my hard copy with holes punched in it. That is absolutely not true in my state. This guard also told me that my ID looked photocopied, which was very insulting as I am a 33 year old, law abiding, government employee holding a state issued valid ID card in my hand. I continued to try and explain what a temporary ID is to this guy, and he decided to call another guard in to look at it. Another guy came in and I should have got his name but I didn't. He was extremely obese if that helps identify him. This guy was even ""tougher"" than the first and also immediately rejected the ID because it was made of paper, without even inspecting it. I told him that I had been using it all weekend at this casino and used it to check in to your hotel. He said he didn't care and that he would not accept it in his casino. I told him he was being ridiculous for turning down a state issued valid ID and he said ""No I'm not"". At this point all six of my friends were standing near me and were suggesting we go somewhere else. We all walked out of the casino over to Circus Circus and Silver Legacy, and spent the next several hours there gambling before returning to Sands to go to sleep. I'm writing all this to let you know that because of the service I received, mostly by the security guards, you lost 7 people's business that night, and I will not be returning to Sands in my lifetime or recommending it. This was my second stay there and used to be my casino of choice, but I will be going elsewhere on my next Reno visit.",2018-10-20 17:49:49
Z6OVNl0KWiaOnDmdjl1xDg,CCjZJZaZ3h54nO6d6RWiVg,Ll0Hblk_z45EPYmjmiFjbg,4.0,2,0,0,"This is another new thing for me. Where I live in Ohio, we only have a couple of places that wash your car for you and there is only one option. Expensive. 

To me, this place isn't that bad for what you get, especially when it's cold and I don't want to wash my own car. They say they charge more than $25 for an SUV but they didn't for mine.

At this place I paid $25 to have my car hand-washed and towel dried, waxed, tire shine, the mats scrubbed, the inside vacuumed. Only I didn't know that's what I got for $25 so I wasn't prepared. We had just driven cross-country and I had a lot of stuff in my car. The signs are confusing and don't actually lay out exactly what you get. Turns out I was getting more than I thought so that was good.

They did a good job but the place was slightly confusing. There are a ton of people working and they pointed where to go but I still wasn't sure where to drive because  there are two lanes, and had to back up a little and go into the correct lane. Basically, once you drive around if you're getting a hand wash, go into the far lane. If you're going through the washer go into the closer lane (the one with the drive through wash, duh) and they'll rinse and scrub down your car a little first before you go in. Someone pulled up behind me into the wrong lane and they had to move so I could back out when I was done.

They have a sheltered waiting area you can get inside while you get out of your car for them to do the inside.

Anyhow I did the $25 option and they snubbed down the car with different types of brushes and sponges , then hand dried it with stiff, wax-infused towels. Then they had me back up and drive into the drying lane but I hadn't realized this so I just told them I didn't want to have the inside done (we had way too much luggage and trash lying around). I didn't ask for my money back because I didn't know I was getting this service anyhow, but they sure as heck didn't offer it back to me either.

When the car was done it looked really good. I saw some places around the plastic the outlines the tires that had some dirt that washed out, but for as dirty as it was it looked great. I had never waxed my car and it looked awesome. When I came out the next day in the sun I was like ""WOW!!"" and taking pictures of my car bc it looked sooooo nice. The tires were new anyhow but looked amazing after being scrubbed and shined. Some guy actually came out and asked if someone had messed with my car since I was taking pictures! XD

I will most likely come back here to get my car washed again. I'll spray it off myself at the car wash to keep the salt off but before I head back home I'll probably be prepared to let them do the inside to. For $25, you can't beat it!",2015-11-30 18:59:28
KqFTVcT5ICQAKqG5UBqVUA,vhMMA4vymXwtoTbIrD1g6A,BXfXO9qx67QjzASjMVyJwA,5.0,4,0,0,"Just purchased a 2014 Audi Q7 from here.  Was in the market for an SUV and really hadn't narrowed it down much since one day to the next I'd consider a third row a must have while other days it wouldn't be a big deal.  Also hadn't decided if I really cared to have a 'luxury' SUV or save money.  So, this indecision lead to me visiting Reeves Audi, a few Ford dealers, Infiniti, Lexus, Acura, Jeep, Dodge and VW.  I did a LOT of research on all the various models I was considering and put together a spreadsheet with the information.  What I didn't have, I'd ask of the dealer.

In any case, my experience with Chris Billings at Audi Tampa was far and away the best out of all the dealers and sales folks.  He knew everything about the car and was very well rehearsed at presenting every single feature to you.  He didn't bumble around like many of the other dealers trying to remember what they should show me, he had an answer to every question I asked and there was zero pressure.  He even took the cellular SIM card out of his own Audi to use when demonstrating the navigation system since to get the full demonstration, the vehicle needs an active cellular connection to feed it real time data from Google Maps and Earth.

In the end, I decided the price premium for the Audi over one other finalist was worth it since it was just so much higher quality.  When it came time to make it all happen, I got what I feel was a fair price.  The 'finance guy' you always encounter when buying a car was right next to all the sales staff in a clean brightly lit room.  He presented all the add-on revenue generating stuff like you get at every car dealer; extended warranties, paint protection, etc. and when I declined them all, that was it and we moved on.  It wasn't like many car dealers where some creepy guy in the basement of the dealership gives you the ultra hard sell on why you can't live without that extended warranty.

I was in and out in probably four hours, with at least half that time being them doing a very thorough detailing job on the car; not a spray down and cover the car in swirl marks by using a dirty rag.  Could not have been happier with the experience.",2014-01-27 22:47:23
FJZPw60_ttf1doO4tdzayA,Spz8JoUlPT1kdpUL6x-CGw,F96zZwm8zAMxUB2DvLkmEA,1.0,1,2,1,"I just returned from a very disappointing dinner experience at Roberto Cafe with a group of 5 friends. I came into the restaurant with good spirits; I love Italian food and was excited to try a new BYOB in Philadelphia. As soon as we sat down, though, it felt like we were a low priority: one member of our group wasn't given a menu, we had to ask for bread three times before they brought it, and we repeatedly asked for water refills. These inconveniences were annoying, but there are three reasons why I'll never return to Roberto Cafe: 

(1) A member of our party, who is a vegetarian, tried to order the Penne Amatriciana (""Penne pasta with pancetta, onions, and romano cheese in a lightly spicy marinara sauce"") without the pancetta.  When the dish came, it was literally a bowl of penne with marinara sauce. My friend asked where the onions and cheese were, and if the sauce was spicy. Our waiter (presumably the owner) assured us that the onions were inside the tomato sauce (even though we didn't see any onions, even minced onion), then he brought over some red pepper flakes to ""make the sauce spicy"" and, after more requests, finally some cheese. Upon spooning cheese onto the penne, the waiter made sure to tell me that my gnocchi had cheese on it already, but if I wanted more, he would give me some more. 

(2) Overall, the food was less than mediocre: the bread basket didn't even have enough bread for everyone at our table (there were six of us, so it shouldn't have been difficult to put six slices of bread in the basket). The portions were also TINY: I left starving (I'm 5""2, 110 lbs, and I had a snack before coming to dinner) and I've never left any restaurant -- much less a restaurant where I load up on carbs -- hungry. 

(3) The menu prices in the restaurant did not reflect the menu prices listed on the website. I think that this is an extremely dishonest way to conduct business. Finally, when we got our bill, which averaged $16/person (for our bowls of pasta and sauce, which probably cost less than $3 to produce) we saw that there was a predetermined 20% tip built into our bill.  We assumed that there would be a fixed gratuity because we were a party of 6, but we didn't know that it would be 20%. Additionally, and outrageously, the bill was totally illegible and impossible to decipher, and our ""tip"" was based off of the price AFTER tax. In other words, we ended up tipping on more than 20% of our food bill because our tip was calculated on top of the tax. 

I go to restaurants to eat food that is better than what I make at home. I also don't like to feel like I'm being taken advantage of, especially when I'm paying for food. Roberto Cafe should be more careful with the way in which it describes its dishes on its menu and in how it calculates its bills -- tip and tax are always calculated independently of one another. If I could give this restaurant zero stars, I would.",2014-02-23 03:19:41
oouOXojsE3Vwf64S3TsWjA,AvGJVv7Z3a0q1MJT1Ykd0w,1LUZupYFJ6CxSKU37qDSXw,4.0,9,9,4,"As I accepted this hefty menu and felt it's weight  (I'm thinking like a large, newborn baby) I knew I was in for a different experience to my usual chain fare.

We had come after seeing a movie at AMC. My buddy and I wanted to try a place we hadn't before so Redstone was it. I had heard it was good. Preston and Steve crew often talks about it do I was ready to join the Elite (not Yelp Elite, of which I'm already a member , but real world Elite).

The place is gorgeous, from staff to decor (and later food). On a Thursday at 5pm, it was bustling but we were sat immediately. Our server was Nick, who was pitch perfect in light conversations, putting up with my dad jokes, food and drink suggestions, and pacing. We were neither bothered by him or in need of him.

I'll admit that I wasn't paying for the meal, but had a case of sticker shock while perusing the menu. I surpassed the $40 steaks and fell to the thing that my basic bitch ass always loves...meatloaf. What they described sounded divine but for $19 I was being stubborn. My friend insisted I get it however, so I went for it.

He also ordered a Jerk chicken fondue appetizer which was out of this world. I dipped everything they gave us in that cheese; Croutons, grapes, apples, chicken (we also ordered steak chunks)
And also dunked a few things they didn't give us. My apologies about the woman's weave at the table next to ours.

My meatloaf finally arrived and it was a work of art, both aesthetically and taste. Grilled Meatloaf (I opted for the Marsala gravy, a great decision) over wonderful garlic mash, with a side of perfectly prepared green beans. My only complaint about it, was that I loved the touch of crispy onion straws on top, but there were entirely too many and it distracted from all of the rest of the great flavors. Still, I have to rank it as the best meatloaf I've ever eaten (taking the spot from Silk City). It also paired really well with my Lagunitas Coffee Stout.

My friend ordered the Crab cakes and was really pleased with them, even showing me that they were mostly crab than filler. 

Overall, it was a fantastic experience. The only thing keeping it from a 5 star in my eyes is the price. If money is no object, it's a great place to spend some time and get a great meal.

If I hit the lottery or find wealthy , generous friends, I'll certainly be back.",2016-02-26 03:06:01
dpdbMDcxij7UP9INTJziZA,OLGQ7alK4VKl3YdQk6UF5g,wUnLSg_GKfEIQ5CQQ770_g,5.0,4,0,5,"I don't know how long I've been saying that if the world was ending or if I was dying, the first thing I'd do is rush to Vetri. Thankfully, neither scenario happened, and I was privileged to finally dine there last night. 

With that being said, I obviously preemptively put Vetri Cucina on a pedestal surrounded with unrealistic hype. I had butterflies the moments leading up to my visit of combined sheer giddiness and nerves, that I would somehow be let done. I'm ecstatic to report that my dining experience at Vetri was one of the top dining experiences of my lifetime, and I found it to be truly everything everyone says it is, and more. 

Upon entry to the restaurant, I was actually a little uncertain. The hallway was narrow, and I had to walk through a crowd to get to the hostess stand. That literally was the lowlight of the evening, and that's not even horrible. Every aspect of the evening was stellar from there-on-out. 

Where to begin? Well, to start, I wish I was taking notes. Our server was so knowledgeable that I wish I could've written down everything he said about the food and the wine. The wine paring was extraordinary from the thorough to description to the actual pairing. I had the six-pour pairing and I'd absolutely recommend going that route. I didn't view the actual list until after the meal, I didn't realize that they literally listed the wines and dishes they paired with on the page. This is a great keepsake, and guide for my own future pairings. 

After our aperol spritz, we started with a few ""snacks"" and a vegetable crudités platter for the table. We passed the veggies and helped ourselves to the snacks from the center of the table. Our next course, after the bread, was our antipasti. I didn't realize the plate in front of me was my tuna crudo, and mine alone. Theoretically, a group could share and pass everything. We did, to some extent, however we mostly ate the plate in front of us. Based on specific wine pairings, this does make sense.  

Taking a step back, before our tasting journey began, our server gave us some time to discuss the menu and our preferences. I was told to ""not be shy"" if there was something I really wanted to try. While the tasting menu had the element of surprise at every course, the meal was centered around that initial conversation with the server. From just looking at the menu, there were a few standouts that I simply needed to try. 

After the antipasti- we moved on to multiple rounds of pasta. Mamma mia! The swiss chard gnocchi with brown butter was one of the most exquisite things I've ever eaten in my entire life. The gnocchi melted in my mouth as the flavor of the brown butter sauce lingered. This was served with the tortellini with truffle sauce that would've been a knockout on its own. I received the mafaldini with lamb shank ragu as my second pasta course. This was my must-have, and while delicious, the gnocchi still takes the cake. Special shout out to the delectable seafood in the tonnarelli al Frutti di mare that I sampled for one of the other plates

At this point in the meal, I was starting to hurt, however there was no looking back. No food down, no food left behind. Of course, I had to sample the next round of bread that came out- the sourdough. No regrets either. 

I rallied in time for our secondi; in my case, the milk fed veal with asparagus- yet another standout from my initial menu review. I've said this before about veal, however, we have a new winner. This was the BEST veal I've had in my life. We had two different preparations of this tender, tender meat. One was more tender and filet-like, the other was delectably fattier with a slight crisp. There was a dollop of sauce, however I preferred the veal in its own juices. 

Finally, we reached dessert status. Based on our groups eagerness to try everything, our server ended up bringing us one of each dessert option. The pistachio flan was placed in front of me, and the pistachio that oozed out of the flan upon dipping my fork was a highlight. We literally based the plates around the table and it was great to try a little of everything. I hit crazy status when the little pastry tray was placed in the center. Did I need to try one of everything? Probably not, but when at Vetri, you try to eat it all. 

While the food was phenomenal, the staff added to the entire experience. Aside from our fantastic server, the team work and collaboration of guest service was apparent. We had so many people interacting with us throughout the meal that were aiming to please and perfectly harmonized with the actions of their colleagues. 

I was smiling on the outside and smiling on the inside. This meal is a true highlight in my culinary life.  So, I'm so thrilled the world isn't ending and I'm not dying. While I've checked a major item off my bucket list, it's only left me with the taste for more of the finer Vetri Cucina dining experience.",2018-06-21 17:52:08
